model,regime,dof,horizon_samples,horizon_s,n_seeds,deterministic,n_windows,rmse_mean,rmse_std,mae_mean,mae_std,rmse_persistence,skill_mean,skill_std,skill_ci_lo,skill_ci_hi,n_params,fit_time_s_mean
ar10,id,roll_rate,20,2.0,1,True,434304,0.10374370091753735,,0.07385440316740163,,2.0483978110523133,0.9974349557152771,,0.9969800870161944,0.9977620870558616,54900,0.018464961998688523
ar10,id,roll_rate,30,3.0,1,True,434304,0.20221700665111197,,0.14416063845274266,,2.8659956780901075,0.9950216629955019,,0.9942017913932811,0.9956031817064289,54900,0.018464961998688523
ar10,id,roll_rate,50,5.0,1,True,434304,0.29618921354868905,,0.20554661080342818,,3.798345550151574,0.9939193566144712,,0.9929653724683545,0.9946298830014353,54900,0.018464961998688523
ar10,id,roll_rate,100,10.0,1,True,434304,0.7201442330975312,,0.49661600024689057,,1.958738621708589,0.8648282298724315,,0.8469435797919385,0.8780520554618102,54900,0.018464961998688523
ar10,id,roll_rate,150,15.0,1,True,434304,1.0539233484811292,,0.7089535383939526,,2.8980935747304644,0.8677507420788315,,0.8545176033125056,0.8786391472434527,54900,0.018464961998688523
ar20,id,heave,10,1.0,1,True,434304,0.0018378880207567383,,0.0012658628951182677,,0.44174333995484594,0.9999826899599316,,0.9999804528396928,0.9999846634077261,108900,0.05440116099634906
ar20,id,heave,20,2.0,1,True,434304,0.01607666300275213,,0.01105070658313395,,0.8382135080550518,0.9996321400514426,,0.9995844738463143,0.9996746755039145,108900,0.05440116099634906
ar20,id,heave,30,3.0,1,True,434304,0.05883616680202815,,0.04024912673122466,,1.1513183823181896,0.9973884528964564,,0.9970546263908479,0.9976840975932154,108900,0.05440116099634906
ar20,id,heave,50,5.0,1,True,434304,0.2255723271089181,,0.15117201310441492,,1.4421558821616272,0.9755348868572539,,0.9727683199445769,0.9781477671322965,108900,0.05440116099634906
ar20,id,heave,100,10.0,1,True,434304,0.474793110891473,,0.32132511031320693,,0.8335183990732865,0.6755270958301378,,0.6410207859022229,0.7038167241318339,108900,0.05440116099634906
ar20,id,heave,150,15.0,1,True,434304,0.6304450933278566,,0.43049234123664915,,1.106452908012778,0.6753400862595789,,0.6510470292380238,0.6967159488841761,108900,0.05440116099634906
